Area Code;Area Code (M49);Area;Item Code;Item Code (CPC);Item;Element Code;Element;Unit;Y1961;Y1961F;Y1962;Y1962F;Y1963;Y1963F;Y1964;Y1964F;Y1965;Y1965F;Y1966;Y1966F;Y1967;Y1967F;Y1968;Y1968F;Y1969;Y1969F;Y1970;Y1970F;Y1971;Y1971F;Y1972;Y1972F;Y1973;Y1973F;Y1974;Y1974F;Y1975;Y1975F;Y1976;Y1976F;Y1977;Y1977F;Y1978;Y1978F;Y1979;Y1979F;Y1980;Y1980F;Y1981;Y1981F;Y1982;Y1982F;Y1983;Y1983F;Y1984;Y1984F;Y1985;Y1985F;Y1986;Y1986F;Y1987;Y1987F;Y1988;Y1988F;Y1989;Y1989F;Y1990;Y1990F;Y1991;Y1991F;Y1992;Y1992F;Y1993;Y1993F;Y1994;Y1994F;Y1995;Y1995F;Y1996;Y1996F;Y1997;Y1997F;Y1998;Y1998F;Y1999;Y1999F;Y2000;Y2000F;Y2001;Y2001F;Y2002;Y2002F;Y2003;Y2003F;Y2004;Y2004F;Y2005;Y2005F;Y2006;Y2006F;Y2007;Y2007F;Y2008;Y2008F;Y2009;Y2009F;Y2010;Y2010F;Y2011;Y2011F;Y2012;Y2012F;Y2013;Y2013F;Y2014;Y2014F;Y2015;Y2015F;Y2016;Y2016F;Y2017;Y2017F;Y2018;Y2018F;Y2019;Y2019F;Y2020;Y2020F;Y2021;Y2021F
7;'024;Angola;661;'01640;Cocoa beans;5312;Area harvested;ha;1600.000000;E;1600.000000;E;1400.000000;E;1400.000000;E;1400.000000;E;1400.000000;E;1400.000000;E;2000.000000;E;2000.000000;E;4000.000000;E;2100.000000;E;2100.000000;E;3000.000000;E;2100.000000;E;2100.000000;E;2100.000000;E;2100.000000;E;1900.000000;E;1900.000000;E;1900.000000;E;1900.000000;E;1900.000000;E;1900.000000;E;1800.000000;E;1800.000000;E;1800.000000;E;1800.000000;E;1800.000000;E;1800.000000;E;1762.000000;I;2471.000000;I;2200.000000;E;2586.000000;I;2602.000000;I;2605.000000;I;2589.000000;I;2320.000000;I;1848.000000;I;1500.000000;E;2200.000000;E;2083.000000;I;2100.000000;E;2200.000000;E;2158.000000;I;2266.000000;I;2400.000000;I;2520.000000;I;2578.000000;I;2632.000000;I;2682.000000;I;2730.000000;I;2500.000000;E;2550.000000;E;2726.000000;I;2838.000000;I;2705.000000;E;2757.000000;I;2874.000000;I;2779.000000;E;2803.000000;E;2819.000000;E
7;'024;Angola;661;'01640;Cocoa beans;5419;Yield;hg/ha;2500.000000;I;2500.000000;I;2143.000000;I;2143.000000;I;2857.000000;I;2143.000000;I;2857.000000;I;2500.000000;I;1500.000000;I;1113.000000;I;2457.000000;I;2857.000000;I;2333.000000;I;2381.000000;I;2381.000000;I;1429.000000;E;1429.000000;E;1053.000000;E;1053.000000;E;1053.000000;E;1053.000000;E;1053.000000;E;1053.000000;E;556.000000;E;556.000000;E;556.000000;E;556.000000;E;556.000000;E;556.000000;E;522.000000;I;798.000000;E;909.000000;E;773.000000;E;769.000000;E;768.000000;E;772.000000;E;719.000000;E;787.000000;E;667.000000;E;909.000000;E;955.000000;E;905.000000;E;909.000000;E;1029.000000;E;1067.000000;E;1108.000000;E;1180.000000;E;1228.000000;E;1275.000000;E;1321.000000;E;1363.000000;E;1600.000000;E;1608.000000;E;1534.000000;E;1510.000000;E;1620.000000;E;1624.000000;E;1525.000000;E;1588.000000;E;1578.000000;E;1563.000000;E
7;'024;Angola;661;'01640;Cocoa beans;5510;Production;tonnes;400.000000;A;400.000000;A;300.000000;A;300.000000;A;400.000000;A;300.000000;A;400.000000;A;500.000000;A;300.000000;A;445.000000;A;516.000000;A;600.000000;A;700.000000;A;500.000000;A;500.000000;A;300.000000;T;300.000000;T;200.000000;T;200.000000;T;200.000000;T;200.000000;T;200.000000;T;200.000000;T;100.000000;T;100.000000;T;100.000000;T;100.000000;T;100.000000;T;100.000000;E;92.000000;I;197.090000;I;200.000000;T;200.000000;T;200.000000;T;200.000000;T;200.000000;T;166.850000;I;145.410000;I;100.000000;E;200.000000;E;198.830000;I;190.000000;E;200.000000;E;222.120000;I;241.810000;I;265.870000;I;297.380000;I;316.450000;I;335.600000;I;354.290000;I;372.200000;I;400.000000;E;410.000000;E;418.190000;I;428.720000;I;438.210000;I;447.670000;I;438.200000;E;441.360000;E;442.410000;E;440.660000;E
23;'084;Belize;661;'01640;Cocoa beans;5312;Area harvested;ha;80.000000;E;10.000000;E;240.000000;E;210.000000;E;220.000000;E;90.000000;E;100.000000;E;150.000000;E;50.000000;E;80.000000;E;90.000000;E;100.000000;E;150.000000;E;160.000000;E;170.000000;E;170.000000;E;180.000000;E;180.000000;E;180.000000;E;170.000000;E;170.000000;E;145.000000;E;144.000000;A;150.000000;A;170.000000;E;210.000000;E;180.000000;E;180.000000;E;543.000000;A;735.000000;A;640.000000;A;796.000000;A;552.000000;A;593.000000;A;423.000000;A;312.000000;E;552.000000;E;678.000000;A;76.000000;E;82.000000;A;82.000000;A;40.000000;E;60.000000;E;54.000000;A;32.000000;A;64.000000;A;31.000000;A;105.000000;A;121.000000;A;121.000000;A;202.000000;A;202.000000;A;643.000000;A;709.000000;A;685.000000;A;270.000000;I;410.000000;A;163.000000;I;301.000000;I;351.000000;I;616.000000;I
23;'084;Belize;661;'01640;Cocoa beans;5419;Yield;hg/ha;2125.000000;I;2000.000000;I;2417.000000;I;2381.000000;I;2500.000000;E;2222.000000;E;2500.000000;E;2333.000000;I;2400.000000;I;2125.000000;I;2222.000000;E;2500.000000;E;2467.000000;I;2500.000000;E;2471.000000;E;2471.000000;E;2500.000000;E;2500.000000;E;2500.000000;E;2588.000000;E;2588.000000;E;2897.000000;E;2847.000000;E;3667.000000;E;3765.000000;I;3810.000000;I;3667.000000;I;3167.000000;I;1529.000000;E;2272.000000;E;1422.000000;A;1796.000000;A;1304.000000;A;405.000000;A;804.000000;A;1763.000000;E;1522.000000;E;1327.000000;A;3026.000000;E;3659.000000;A;3659.000000;A;6250.000000;E;6833.000000;E;7407.000000;A;6875.000000;A;6719.000000;A;8065.000000;A;4762.000000;A;3223.000000;A;2149.000000;A;1287.000000;A;3366.000000;A;1026.000000;A;1059.000000;A;1049.000000;A;3151.000000;E;5951.000000;A;6762.000000;E;3659.000000;E;3192.000000;E;2825.000000;E
23;'084;Belize;661;'01640;Cocoa beans;5510;Production;tonnes;17.000000;A;2.000000;A;58.000000;A;50.000000;A;55.000000;E;20.000000;E;25.000000;E;35.000000;A;12.000000;A;17.000000;A;20.000000;E;25.000000;E;37.000000;A;40.000000;E;42.000000;E;42.000000;E;45.000000;E;45.000000;E;45.000000;E;44.000000;E;44.000000;E;42.000000;E;41.000000;A;55.000000;A;64.000000;A;80.000000;A;66.000000;A;57.000000;A;83.000000;A;167.000000;A;91.000000;A;143.000000;A;72.000000;A;24.000000;A;34.000000;A;55.000000;E;84.000000;A;90.000000;A;23.000000;A;30.000000;A;30.000000;A;25.000000;A;41.000000;A;40.000000;A;22.000000;A;43.000000;A;25.000000;A;50.000000;A;39.000000;A;26.000000;A;26.000000;A;68.000000;A;66.000000;A;75.000000;A;71.840000;A;85.000000;A;244.000000;A;110.000000;A;110.000000;A;112.000000;A;174.000000;A
53;'204;Benin;661;'01640;Cocoa beans;5312;Area harvested;ha;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.000000;M;0.000000;M;0.000000;M;0.000000;M;0.000000;M;0.000000;M;0.000000;M;0.000000;M;0.000000;M;0.000000;M;0.000000;M;0.000000;M;0.000000;M;0.000000;M;0.000000;M;0.000000;M;0.000000;M;0.000000;M;0.000000;M;0.000000;M;0.000000;M;0.000000;M;0.000000;M;0.000000;M;0.000000;M;0.000000;M;0.000000;M;0.000000;M;0.000000;M;0.000000;M
53;'204;Benin;661;'01640;Cocoa beans;5510;Production;tonnes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30.000000;E;20.000000;E;80.000000;E;20.000000;E;70.000000;E;;;;;15.000000;E;10.000000;E;0.000000;M;0.000000;M;0.000000;M;0.000000;M;0.000000;M;0.000000;M;200.000000;T;100.000000;T;100.000000;T;100.000000;T;100.000000;T;100.000000;T;100.000000;T;100.000000;T;100.000000;T;100.000000;T;100.000000;T;100.000000;T;100.000000;T;0.000000;M;0.000000;M;0.000000;M;0.000000;M;0.000000;M;0.000000;M;0.000000;M;0.000000;M;0.000000;M;0.000000;M;0.000000;M
19;'068;Bolivia (Plurinational State of);661;'01640;Cocoa beans;5312;Area harvested;ha;3452.000000;A;3484.000000;A;3176.000000;A;3206.000000;A;3028.000000;A;3056.000000;A;3334.000000;A;3611.000000;A;3650.000000;A;3700.000000;A;3285.000000;A;4685.000000;A;4525.000000;A;4615.000000;A;4770.000000;A;5170.000000;A;5295.000000;A;3980.000000;A;4030.000000;A;4190.000000;A;4270.000000;A;4280.000000;A;4325.000000;A;4546.000000;A;4688.000000;A;5500.000000;A;5560.000000;A;5340.000000;A;5448.000000;A;5515.000000;A;5480.000000;A;5550.000000;A;5600.000000;A;5550.000000;A;5705.000000;A;5750.000000;A;5800.000000;A;5800.000000;A;5820.000000;A;5850.000000;A;5860.000000;A;5865.000000;A;5219.000000;A;5222.000000;A;5282.000000;A;5340.000000;A;5468.000000;A;5476.000000;A;8471.000000;A;8332.000000;A;8491.000000;A;10517.000000;A;13558.000000;A;10198.000000;A;10270.000000;A;10292.000000;A;10342.000000;A;10341.000000;A;10387.000000;A;10336.000000;A;10336.000000;A
19;'068;Bolivia (Plurinational State of);661;'01640;Cocoa beans;5419;Yield;hg/ha;3187.000000;E;3157.000000;E;3463.000000;E;3431.000000;E;3633.000000;E;3272.000000;E;3599.000000;E;3600.000000;E;3562.000000;E;3514.000000;E;5327.000000;E;5304.000000;E;3028.000000;E;5101.000000;E;5734.000000;E;5793.000000;E;5873.000000;E;5440.000000;E;5012.000000;E;5394.000000;E;5234.000000;E;5472.000000;E;5202.000000;E;6043.000000;E;6442.000000;E;6400.000000;E;6547.000000;E;6536.000000;E;6571.000000;E;6511.000000;E;6599.000000;A;6387.000000;A;6625.000000;A;6784.000000;A;6748.000000;A;6713.000000;A;6897.000000;A;6897.000000;A;7216.000000;A;7350.000000;A;7372.000000;A;7374.000000;A;8049.000000;A;8173.000000;A;8251.000000;A;8378.000000;A;8594.000000;A;8665.000000;A;5324.000000;A;5341.000000;A;5393.000000;A;4529.000000;A;5403.000000;A;5855.000000;A;5906.000000;A;5969.000000;A;5336.000000;A;5653.000000;A;5618.000000;A;5684.000000;A;5693.000000;A
