,column,ranking
0,year,35
1,month,23
2,Tiny+Small,1
3,Large+Mature,1
4,apparent_temperature_max,1
5,apparent_temperature_min,59
6,rain_sum,1
7,precipitation_hours,1
8,windspeed_10m_max,24
9,windgusts_10m_max,1
10,shortwave_radiation_sum,77
11,soil_temperature_28_to_100cm,58
12,soil_temperature_100_to_255cm,102
13,soil_moisture_28_to_100cm,1
14,soil_moisture_100_to_255cm,104
15,lag_Tiny+Small_1,1
16,lag_Tiny+Small_2,1
17,lag_Tiny+Small_3,1
18,lag_Tiny+Small_4,1
19,lag_Tiny+Small_5,1
20,lag_Tiny+Small_6,1
21,lag_Tiny+Small_7,1
22,lag_Tiny+Small_8,1
23,lag_Tiny+Small_9,1
24,lag_Tiny+Small_10,1
25,lag_Tiny+Small_11,1
26,lag_Tiny+Small_12,19
27,lag_Large+Mature_1,8
28,lag_Large+Mature_2,1
29,lag_Large+Mature_3,1
30,lag_Large+Mature_4,1
31,lag_Large+Mature_5,1
32,lag_Large+Mature_6,1
33,lag_Large+Mature_7,1
34,lag_Large+Mature_8,1
35,lag_Large+Mature_9,1
36,lag_Large+Mature_10,1
37,lag_Large+Mature_11,1
38,lag_Large+Mature_12,1
39,lag_apparent_temperature_max_1,1
40,lag_apparent_temperature_max_2,17
41,lag_apparent_temperature_max_3,96
42,lag_apparent_temperature_max_4,44
43,lag_apparent_temperature_max_5,1
44,lag_apparent_temperature_max_6,1
45,lag_apparent_temperature_max_7,1
46,lag_apparent_temperature_max_8,1
47,lag_apparent_temperature_max_9,1
48,lag_apparent_temperature_max_10,42
49,lag_apparent_temperature_max_11,18
50,lag_apparent_temperature_max_12,79
51,lag_apparent_temperature_min_1,27
52,lag_apparent_temperature_min_2,46
53,lag_apparent_temperature_min_3,9
54,lag_apparent_temperature_min_4,91
55,lag_apparent_temperature_min_5,74
56,lag_apparent_temperature_min_6,33
57,lag_apparent_temperature_min_7,25
58,lag_apparent_temperature_min_8,1
59,lag_apparent_temperature_min_9,10
60,lag_apparent_temperature_min_10,1
61,lag_apparent_temperature_min_11,57
62,lag_apparent_temperature_min_12,2
63,lag_rain_sum_1,39
64,lag_rain_sum_2,51
65,lag_rain_sum_3,4
66,lag_rain_sum_4,26
67,lag_rain_sum_5,36
68,lag_rain_sum_6,56
69,lag_rain_sum_7,67
70,lag_rain_sum_8,49
71,lag_rain_sum_9,29
72,lag_rain_sum_10,5
73,lag_rain_sum_11,20
74,lag_rain_sum_12,71
75,lag_precipitation_hours_1,1
76,lag_precipitation_hours_2,1
77,lag_precipitation_hours_3,45
78,lag_precipitation_hours_4,103
79,lag_precipitation_hours_5,88
80,lag_precipitation_hours_6,95
81,lag_precipitation_hours_7,66
82,lag_precipitation_hours_8,89
83,lag_precipitation_hours_9,61
84,lag_precipitation_hours_10,87
85,lag_precipitation_hours_11,84
86,lag_precipitation_hours_12,34
87,lag_windspeed_10m_max_1,30
88,lag_windspeed_10m_max_2,1
89,lag_windspeed_10m_max_3,38
90,lag_windspeed_10m_max_4,82
91,lag_windspeed_10m_max_5,92
92,lag_windspeed_10m_max_6,62
93,lag_windspeed_10m_max_7,21
94,lag_windspeed_10m_max_8,65
95,lag_windspeed_10m_max_9,68
96,lag_windspeed_10m_max_10,1
97,lag_windspeed_10m_max_11,40
98,lag_windspeed_10m_max_12,7
99,lag_windgusts_10m_max_1,16
100,lag_windgusts_10m_max_2,1
101,lag_windgusts_10m_max_3,1
