,Model,Iter_n,FarmID,Target,rmse,wmape,r2,mae
0,data_FE_FS_CNN_DNN_no_optim,1,AG10,Tiny+Small_+1,42.62204013962803,0.68203163,0.689128790430727,41.547092
1,data_FE_FS_CNN_DNN_no_optim,1,AG10,Tiny+Small_+2,38.30405092653795,1.106139,0.4667593844379869,33.460705
2,data_FE_FS_CNN_DNN_no_optim,1,AG10,Tiny+Small_+3,31.515114685072643,4.7883925,-34.40127407238042,29.528421
3,data_FE_FS_CNN_DNN_no_optim,1,AG10,Tiny+Small_+4,35.81210630510041,9.153562,-218.85835691179548,32.037464
4,data_FE_FS_CNN_DNN_no_optim,1,AG10,Tiny+Small_+5,45.97088763299688,17.02164,-1169.4555446031814,45.39104
5,data_FE_FS_CNN_DNN_no_optim,1,AG10,Tiny+Small_+6,45.95444787283245,12.778834,-224.4268237968012,45.79082
6,data_FE_FS_CNN_DNN_no_optim,1,AG10,Large+Mature_+1,33.66990459722061,0.4091969,0.3917485555869912,30.55337
7,data_FE_FS_CNN_DNN_no_optim,1,AG10,Large+Mature_+2,19.759034227252858,0.23175254,0.8463306267001818,15.353606
8,data_FE_FS_CNN_DNN_no_optim,1,AG10,Large+Mature_+3,27.273412883116933,0.4120624,0.7373172366128288,23.041155
9,data_FE_FS_CNN_DNN_no_optim,1,AG10,Large+Mature_+4,26.501719293062504,0.5939489,0.3898764608478279,21.233673
10,data_FE_FS_CNN_DNN_no_optim,1,AG10,Large+Mature_+5,24.1328972258953,0.84442747,-1.1090186501124903,19.632938
11,data_FE_FS_CNN_DNN_no_optim,1,AG10,Large+Mature_+6,24.979094042021543,1.5766746,-5.865031954642863,23.12456
12,data_FE_FS_CNN_DNN_no_optim,1,AG11,Tiny+Small_+1,10.9268506331102,0.36099392,0.042117443006288835,7.490624
13,data_FE_FS_CNN_DNN_no_optim,1,AG11,Tiny+Small_+2,13.550174298168352,0.44635308,0.14460391697067754,11.047238
14,data_FE_FS_CNN_DNN_no_optim,1,AG11,Tiny+Small_+3,56.464061008280964,0.68252295,0.2871094419759851,35.206806
15,data_FE_FS_CNN_DNN_no_optim,1,AG11,Tiny+Small_+4,61.91588768997421,0.61459625,0.3692735445008467,46.145935
16,data_FE_FS_CNN_DNN_no_optim,1,AG11,Tiny+Small_+5,78.30878694808936,0.6133688,-0.07795189463922814,58.73006
17,data_FE_FS_CNN_DNN_no_optim,1,AG11,Tiny+Small_+6,86.8934473444704,0.61685205,-0.922445646365788,69.13883
18,data_FE_FS_CNN_DNN_no_optim,1,AG11,Large+Mature_+1,10.899830500133506,0.46528444,0.1294471293482875,8.7628565
19,data_FE_FS_CNN_DNN_no_optim,1,AG11,Large+Mature_+2,10.35524219680978,0.6112234,-0.6357271577557191,7.7421627
20,data_FE_FS_CNN_DNN_no_optim,1,AG11,Large+Mature_+3,11.350524056725517,0.38413283,-2.2547634737350437,5.954059
21,data_FE_FS_CNN_DNN_no_optim,1,AG11,Large+Mature_+4,11.585082070788884,0.5841321,-0.8239746541966129,10.222311
22,data_FE_FS_CNN_DNN_no_optim,1,AG11,Large+Mature_+5,15.519648741846979,0.6725206,-0.38757261586658553,14.459193
23,data_FE_FS_CNN_DNN_no_optim,1,AG11,Large+Mature_+6,16.348413680929795,0.49552983,0.44958856417994897,14.61813
24,data_FE_FS_CNN_DNN_no_optim,1,DA4,Tiny+Small_+1,16.024489734161097,1.1947411,0.018033432048533693,12.544782
25,data_FE_FS_CNN_DNN_no_optim,1,DA4,Tiny+Small_+2,37.061958193236194,0.97785646,-0.20581316498241842,24.772364
26,data_FE_FS_CNN_DNN_no_optim,1,DA4,Tiny+Small_+3,38.056147804818444,0.89329183,-0.1657142321304863,31.414095
