,neurons_CNN,neurons_dense,activation,learning_rate,optimizer,batch_size,dropout,rmse_mean,rmse_std,mae_mean,mae_std,wmape_mean,wmape_std,r2_mean,r2_std
0,15,55,relu,4e-05,<keras.optimizers.adam.Adam object at 0x000001C8F46B38E0>,44,0.11,30.156281536381606,4.43725965500618,19.51557737152561,1.3431589718881929,0.529387944016577,0.029737867149895222,0.35357893905148624,0.07665755528802375
1,6,13,relu,0.00011,<keras.optimizers.adam.Adam object at 0x000001C89E58A7C0>,23,0.68,33.235814873498114,3.9029196578340466,22.24423977269067,0.9885939979053499,0.6035305245815931,0.016586845106593893,0.2131946668215295,0.04928356050262852
2,79,77,relu,0.00078,<keras.optimizers.adam.Adam object at 0x000001C880092310>,14,0.59,30.739985111146627,4.661991789150351,19.777119292776568,1.584431174306274,0.5361689989422718,0.032284130118718835,0.3296728707999229,0.07565130382504244
3,13,19,relu,0.00072,<keras.optimizers.adam.Adam object at 0x000001C89F6BD0D0>,10,0.63,32.2643196389309,4.295901204264967,21.346345997480007,1.4841576550605027,0.5786954574924668,0.025397166290859547,0.26081765799998474,0.05419551524059171
4,8,92,relu,0.00063,<keras.optimizers.adam.Adam object at 0x000001C881ACBD60>,43,0.23,30.770618138712916,4.878809754317487,19.92419349204481,1.8487173757634179,0.5404120329802081,0.04440202064175357,0.32862781483297165,0.08456398990089944
5,27,59,relu,0.00058,<keras.optimizers.adam.Adam object at 0x000001C8819DFDF0>,5,0.45,31.116522692144237,4.788415586436682,20.155442251411138,1.9108060381699128,0.5461385166505555,0.03901069898482899,0.313800864600945,0.07640101833821561
6,79,61,relu,0.00013,<keras.optimizers.adam.Adam object at 0x000001C8A08CF1C0>,41,0.76,30.83740063302726,4.408143129714359,20.21473167433458,1.462728794359763,0.5480351504224366,0.026891694237922776,0.3256579560688687,0.058258949631065066
7,74,36,relu,0.00014,<keras.optimizers.adam.Adam object at 0x000001C8EBA778B0>,47,0.97,36.972214216294965,4.493362664998812,24.723347486312093,1.2949606730234975,0.6708314312419451,0.02724927060304428,0.028899246958677894,0.03757629527414069
8,89,88,relu,0.00068,<keras.optimizers.adam.Adam object at 0x000001C8F47421F0>,25,0.26,30.62580637245913,4.6291942936953445,19.529362363675062,1.6106960415806584,0.5294953590228657,0.03408524435278374,0.33476651501432003,0.0729793516067668
9,84,70,relu,0.00049,<keras.optimizers.adam.Adam object at 0x000001C8F39CA490>,41,0.76,31.02627754264867,4.615957208508623,20.582996077319375,1.3905469667481498,0.5580746311594609,0.024499660701886517,0.3169024558710955,0.07322176301378894
