,Model,Iter_n,FarmID,Target,rmse,wmape,r2,mae
0,data_FE_FS_CNN_LSTM_DNN_no_optim,1,DA4,Tiny+Small_+1,49.711444767065075,4.327134510827443,-8.450201685770407,45.43491236368815
1,data_FE_FS_CNN_LSTM_DNN_no_optim,1,DA4,Tiny+Small_+2,54.684804623377104,2.010462208798057,-1.6251652769170017,50.93170928955078
2,data_FE_FS_CNN_LSTM_DNN_no_optim,1,DA4,Tiny+Small_+3,47.162532203705126,1.2666613411564398,-0.7903447654419984,44.544257164001465
3,data_FE_FS_CNN_LSTM_DNN_no_optim,1,DA4,Tiny+Small_+4,44.184626429695264,0.981707663202482,-0.8554866587027328,39.75916035970052
4,data_FE_FS_CNN_LSTM_DNN_no_optim,1,DA4,Tiny+Small_+5,40.203812047058065,0.82206232090189,-0.6196194841560698,33.910070737202965
5,data_FE_FS_CNN_LSTM_DNN_no_optim,1,DA4,Tiny+Small_+6,43.482220212342355,0.7939660856039217,-1.0235103965219166,33.4127394358317
6,data_FE_FS_CNN_LSTM_DNN_no_optim,1,DA4,Large+Mature_+1,24.82450643517197,4.020681023597717,-19.004707223621455,21.443632125854492
7,data_FE_FS_CNN_LSTM_DNN_no_optim,1,DA4,Large+Mature_+2,25.645608149926254,3.645130751968978,-24.101616565771852,23.389588991800945
8,data_FE_FS_CNN_LSTM_DNN_no_optim,1,DA4,Large+Mature_+3,31.22252553746961,2.3557477880407265,-11.038233302037874,26.50216261545817
9,data_FE_FS_CNN_LSTM_DNN_no_optim,1,DA4,Large+Mature_+4,31.617828965511155,1.6377428585721046,-9.958811177138669,26.476842880249023
10,data_FE_FS_CNN_LSTM_DNN_no_optim,1,DA4,Large+Mature_+5,28.95983027779206,1.2021361986796062,-7.882666581308264,24.04272397359212
11,data_FE_FS_CNN_LSTM_DNN_no_optim,1,DA4,Large+Mature_+6,19.944826248992783,0.717630111694336,-3.526124964503923,14.950627326965332
12,data_FE_FS_CNN_LSTM_DNN_no_optim,1,SP23,Tiny+Small_+1,21.413024253547622,0.40219938317123727,-1.987626041011525,16.423141479492188
