,Model,Iter_n,FarmID,Target,rmse,wmape,r2,mae
0,data_FE_FS_CNN_no_optim,1,AG10,Tiny+Small_+1,76.25749194751293,1.0025796,0.004876371669683799,61.073807
1,data_FE_FS_CNN_no_optim,1,AG10,Tiny+Small_+2,51.573502613987735,1.4155961,0.033310444760772606,42.82178
2,data_FE_FS_CNN_no_optim,1,AG10,Tiny+Small_+3,33.42170151018553,5.3621864,-38.81421922844543,33.066814
3,data_FE_FS_CNN_no_optim,1,AG10,Tiny+Small_+4,35.613181633416126,10.138705,-216.4226318359375,35.48547
4,data_FE_FS_CNN_no_optim,1,AG10,Tiny+Small_+5,34.983778327872905,12.961592,-676.8327632998302,34.564243
5,data_FE_FS_CNN_no_optim,1,AG10,Tiny+Small_+6,35.33562745138131,9.78475,-132.28340937003,35.062023
6,data_FE_FS_CNN_no_optim,1,AG10,Large+Mature_+1,59.91594046558061,0.66949844,-0.9261235809509225,49.989216
7,data_FE_FS_CNN_no_optim,1,AG10,Large+Mature_+2,59.11136578064429,0.73964524,-0.3753013825737386,49.001495
8,data_FE_FS_CNN_no_optim,1,AG10,Large+Mature_+3,58.64222786245314,0.844215,-0.21443291128020814,47.20569
9,data_FE_FS_CNN_no_optim,1,AG10,Large+Mature_+4,32.37829525942109,0.74592024,0.08929523885352575,26.666649
10,data_FE_FS_CNN_no_optim,1,AG10,Large+Mature_+5,19.962284384597933,0.7972386,-0.44305195673507636,18.535797
11,data_FE_FS_CNN_no_optim,1,AG10,Large+Mature_+6,22.45902913088527,1.3454914,-4.549721482582128,19.733873
12,data_FE_FS_CNN_no_optim,1,AG11,Tiny+Small_+1,17.388319878955834,0.64827776,-1.4257022191856135,13.451763
13,data_FE_FS_CNN_no_optim,1,AG11,Tiny+Small_+2,20.521479820744,0.67138815,-0.961981627711658,16.616858
14,data_FE_FS_CNN_no_optim,1,AG11,Tiny+Small_+3,69.12524016685222,0.83703715,-0.06844443071058626,43.177166
15,data_FE_FS_CNN_no_optim,1,AG11,Tiny+Small_+4,84.2587857065956,0.7978149,-0.16806560752388466,59.902603
16,data_FE_FS_CNN_no_optim,1,AG11,Tiny+Small_+5,94.6780162329804,0.7914497,-0.5757113804674023,75.78131
17,data_FE_FS_CNN_no_optim,1,AG11,Tiny+Small_+6,99.18331059993157,0.7194729,-1.504708561643171,80.64092
18,data_FE_FS_CNN_no_optim,1,AG11,Large+Mature_+1,17.545576636904368,0.7697276,-1.2557500104265693,14.496536
19,data_FE_FS_CNN_no_optim,1,AG11,Large+Mature_+2,20.596471302797312,1.5076456,-5.471069264123621,19.096844
20,data_FE_FS_CNN_no_optim,1,AG11,Large+Mature_+3,15.916115689685752,0.97544885,-5.399732505396793,15.119457
21,data_FE_FS_CNN_no_optim,1,AG11,Large+Mature_+4,16.76220804823588,0.83495325,-2.818413828939436,14.611682
22,data_FE_FS_CNN_no_optim,1,AG11,Large+Mature_+5,17.77470977589191,0.6979234,-0.8201073703682027,15.005353
23,data_FE_FS_CNN_no_optim,1,AG11,Large+Mature_+6,21.526989696666615,0.59522605,0.045660577508583655,17.559168
24,data_FE_FS_CNN_no_optim,1,DA4,Tiny+Small_+1,28.788578057321622,2.6353579,-2.169339250529386,27.671257
