,neurons_layer,activation_layer,learning_rate,optimizer,batch_size,dropout,rmse_mean,rmse_std,mae_mean,mae_std,wmape_mean,wmape_std,r2_mean,r2_std
0,83,relu,0.00058,<keras.optimizers.adam.Adam object at 0x0000023982BEA1C0>,8,0.15,30.536290710359758,6.8993629431266195,19.161068989015096,2.1252209024964888,0.5776100600947048,0.056255280790937154,0.23749973389537118,0.08144530937849923
1,22,relu,0.00036,<keras.optimizers.adam.Adam object at 0x00000239D0C24B80>,33,0.24,30.565199816402707,7.052970322776855,19.423272337555105,2.0962632810090067,0.5848352647125544,0.04812977883167421,0.24116125131317406,0.05094046687722961
2,85,relu,0.00026,<keras.optimizers.adam.Adam object at 0x00000239FA62E490>,12,0.39,30.269931086802274,6.973547623244335,19.028699377938814,1.8128971364792021,0.574405647325839,0.05520425662056678,0.25429288952156476,0.057875014770961485
3,70,relu,0.00059,<keras.optimizers.adam.Adam object at 0x00000239835B7130>,31,0.4,30.70849033458353,6.643709213130357,19.467874626474444,1.5639138688630494,0.5910269628170259,0.08113384270931517,0.2221657178862416,0.10983291341170305
4,9,relu,0.00026,<keras.optimizers.adam.Adam object at 0x0000023983251BB0>,22,0.27,30.94280855714485,7.299298284746513,20.204169128611195,1.9155170252889846,0.6102169350203785,0.061756818194725074,0.22211255729531273,0.06754433905530342
5,35,relu,9e-05,<keras.optimizers.adam.Adam object at 0x00000239FCF69610>,19,0.45,30.545388281357543,7.239433829289739,19.616211399767135,2.1261186704067145,0.5908686172242092,0.05125077640997072,0.2421602975117753,0.06615192897568622
6,17,relu,0.00089,<keras.optimizers.adam.Adam object at 0x00000239F0B205B0>,48,0.34,30.811683591101875,7.445568901536995,19.943629699828577,2.365261435027265,0.6000728065856468,0.05161472477782936,0.2286351574508531,0.07887091450147826
7,9,relu,5e-05,<keras.optimizers.adam.Adam object at 0x00000239DCB6A160>,44,0.48,31.632753176544206,8.447747062609114,20.616037152483575,2.178342116318599,0.6213546827888861,0.056013338532654076,0.19761465130731856,0.07194034463114629
8,96,relu,0.00026,<keras.optimizers.adam.Adam object at 0x00000239FF65D0D0>,7,0.53,30.48112588788188,6.656770130089612,19.12471210894242,1.5530589959124546,0.5800192317889763,0.07490294042762563,0.22803195701692838,0.14584316355916221
9,21,relu,0.00042,<keras.optimizers.adam.Adam object at 0x00000239DAABAB20>,11,0.74,31.225404017952997,7.353317394708233,20.801363461859086,1.3883102137342223,0.6316217083537271,0.08254301411432338,0.20584258717942255,0.07989338428143765
10,87,relu,0.00069,<keras.optimizers.adam.Adam object at 0x00000239CBCD4880>,47,0.63,29.7806914410685,7.177253557601823,18.88619553918153,1.8470889416251872,0.570250060331007,0.05755459699043684,0.27959145776151206,0.06888514356726065
11,52,relu,0.00087,<keras.optimizers.adam.Adam object at 0x00000239F05D1A60>,35,0.98,35.64877097926665,8.14547211948671,24.038978577049726,1.7345200764296136,0.7285942400393554,0.08571019451242537,-0.03283897272058902,0.060595253084503656
12,82,relu,0.00034,<keras.optimizers.adam.Adam object at 0x0000023983FC6700>,23,0.05,30.291124572928574,6.717865242297149,19.07716561353285,1.8134889130281937,0.5773914794386752,0.06962740135267788,0.242386584508332,0.1212626821647921
13,87,relu,0.00048,<keras.optimizers.adam.Adam object at 0x000002398335FF70>,45,0.03,30.677936053559655,6.430299776151837,19.41971988155951,1.6791170638408175,0.590021357251084,0.08651777056934201,0.21535885764258214,0.15117507909727182
