,Model,Iter_n,FarmID,Target,rmse,wmape,r2,mae
0,data_FE_FS_DNN_optim,1,AG10,Tiny+Small_+1,30.991600621491482,0.4524778,0.8356385213239501,27.56344
1,data_FE_FS_DNN_optim,1,AG10,Tiny+Small_+2,32.391271324352374,0.94511074,0.6186798872327668,28.5896
2,data_FE_FS_DNN_optim,1,AG10,Tiny+Small_+3,25.93768236946429,4.0963664,-22.979684426520567,25.260925
3,data_FE_FS_DNN_optim,1,AG10,Tiny+Small_+4,27.025847319553993,7.440144,-124.21080845424108,26.040504
4,data_FE_FS_DNN_optim,1,AG10,Tiny+Small_+5,31.05978338692929,11.538397,-533.3009708559067,30.769058
5,data_FE_FS_DNN_optim,1,AG10,Tiny+Small_+6,40.74114407220912,10.780861,-176.1809274951034,38.63142
6,data_FE_FS_DNN_optim,1,AG10,Large+Mature_+1,25.060630823767312,0.2646622,0.6630360995481597,19.761446
7,data_FE_FS_DNN_optim,1,AG10,Large+Mature_+2,25.009490386151413,0.33167225,0.7538127588710226,21.973288
8,data_FE_FS_DNN_optim,1,AG10,Large+Mature_+3,19.73944968897151,0.30973378,0.8623986663022477,17.31928
9,data_FE_FS_DNN_optim,1,AG10,Large+Mature_+4,20.734497897855444,0.5235666,0.6265291444058548,18.717506
10,data_FE_FS_DNN_optim,1,AG10,Large+Mature_+5,23.696689242480424,0.8817669,-1.0334656201322678,20.501081
11,data_FE_FS_DNN_optim,1,AG10,Large+Mature_+6,31.028530650926232,2.0535257,-9.592821452960091,30.118376
12,data_FE_FS_DNN_optim,1,AG11,Tiny+Small_+1,11.475031408462257,0.46917963,-0.05640391223883445,9.735477
13,data_FE_FS_DNN_optim,1,AG11,Tiny+Small_+2,11.236660657179666,0.3701641,0.4117633340692469,9.161561
14,data_FE_FS_DNN_optim,1,AG11,Tiny+Small_+3,59.227631672350576,0.5407549,0.21561841509021773,27.893942
15,data_FE_FS_DNN_optim,1,AG11,Tiny+Small_+4,71.95406317249395,0.60094166,0.1481807252393491,45.1207
