,Model,Iter_n,loss,root_mean_squared_error,mean_absolute_error,val_loss,val_root_mean_squared_error,val_mean_absolute_error
0,data_FE_FS_LSTM_DNN_no_optim,1,1.024599552154541,1.0122250318527222,0.7102518081665039,0.9898004531860352,0.9948870539665222,0.6895118951797485
1,data_FE_FS_LSTM_DNN_no_optim,1,0.9891566038131714,0.9945635199546814,0.6930942535400391,0.9466029405593872,0.972935140132904,0.6757687330245972
2,data_FE_FS_LSTM_DNN_no_optim,1,0.9142647981643677,0.9561718106269836,0.6648964285850525,0.9041796922683716,0.9508836269378662,0.6704932451248169
3,data_FE_FS_LSTM_DNN_no_optim,1,0.8406664729118347,0.9168788194656372,0.6380990743637085,0.8910594582557678,0.9439594745635986,0.6514680981636047
4,data_FE_FS_LSTM_DNN_no_optim,1,0.7805620431900024,0.8834942579269409,0.6121060252189636,0.889194130897522,0.9429709315299988,0.6467959880828857
5,data_FE_FS_LSTM_DNN_no_optim,1,0.7285252809524536,0.85353684425354,0.585771918296814,0.8912954330444336,0.9440842866897583,0.6530208587646484
6,data_FE_FS_LSTM_DNN_no_optim,1,0.6859982013702393,0.828249990940094,0.5653291344642639,0.9195851683616638,0.9589500427246094,0.6547271013259888
7,data_FE_FS_LSTM_DNN_no_optim,1,0.6494449377059937,0.8058813810348511,0.5499679446220398,0.9044528603553772,0.9510272741317749,0.6477842330932617
8,data_FE_FS_LSTM_DNN_no_optim,1,0.6165900230407715,0.7852325439453125,0.535193681716919,0.9139367938041687,0.9560004472732544,0.648457944393158
9,data_FE_FS_LSTM_DNN_no_optim,1,0.5898216366767883,0.767998456954956,0.5235346555709839,0.9111334085464478,0.9545331001281738,0.6533063650131226
0,data_FE_FS_LSTM_DNN_no_optim,2,1.0339672565460205,1.0168416500091553,0.7029934525489807,1.4876116514205933,1.2196767330169678,0.7418845891952515
1,data_FE_FS_LSTM_DNN_no_optim,2,0.9415991902351379,0.970360279083252,0.6722036600112915,1.4400714635849,1.2000298500061035,0.7130425572395325
2,data_FE_FS_LSTM_DNN_no_optim,2,0.8546953797340393,0.9244972467422485,0.6301682591438293,1.4241269826889038,1.1933677196502686,0.6895108222961426
3,data_FE_FS_LSTM_DNN_no_optim,2,0.7846320867538452,0.8857945799827576,0.5961474776268005,1.3928724527359009,1.180200219154358,0.6799381971359253
4,data_FE_FS_LSTM_DNN_no_optim,2,0.7242922782897949,0.8510536551475525,0.5706844925880432,1.3833650350570679,1.1761654615402222,0.6619411110877991
5,data_FE_FS_LSTM_DNN_no_optim,2,0.6692311763763428,0.8180654644966125,0.5461845397949219,1.3741272687911987,1.1722317934036255,0.6754134297370911
