,Model,Iter_n,FarmID,Target,rmse,wmape,r2,mae
0,data_raw_CNN_DNN_no_optim,1,AG10,Tiny+Small_+1,46.49430566192353,0.43635052,0.6133941286576684,28.326422
1,data_raw_CNN_DNN_no_optim,1,AG10,Tiny+Small_+2,70.73493932014786,0.513535,0.310809589007792,46.688892
2,data_raw_CNN_DNN_no_optim,1,AG10,Tiny+Small_+3,67.08804776071331,0.44250116,0.3137423977396262,49.449505
3,data_raw_CNN_DNN_no_optim,1,AG10,Tiny+Small_+4,77.27879216673874,0.561486,0.06624608593548731,63.21397
4,data_raw_CNN_DNN_no_optim,1,AG10,Tiny+Small_+5,94.61412689346396,0.730843,-0.24204512580163762,78.931046
5,data_raw_CNN_DNN_no_optim,1,AG10,Tiny+Small_+6,97.34856529021114,0.8330394,-0.11359621910829931,82.40148
6,data_raw_CNN_DNN_no_optim,1,AG10,Large+Mature_+1,28.27067848862194,0.5334509,-1.7793979024283018,26.761454
7,data_raw_CNN_DNN_no_optim,1,AG10,Large+Mature_+2,32.60198841232694,0.49783164,-2.6855236869858183,25.016039
8,data_raw_CNN_DNN_no_optim,1,AG10,Large+Mature_+3,34.004602457332886,0.4826529,-2.0603787084917164,25.339277
9,data_raw_CNN_DNN_no_optim,1,AG10,Large+Mature_+4,30.253190810214033,0.35060525,0.45152315587141334,22.730906
10,data_raw_CNN_DNN_no_optim,1,AG10,Large+Mature_+5,30.48738212359336,0.2676914,0.4787574583003259,19.697626
11,data_raw_CNN_DNN_no_optim,1,AG10,Large+Mature_+6,33.697914452923676,0.35011336,0.1994560220389444,27.542252
12,data_raw_CNN_DNN_no_optim,1,AG11,Tiny+Small_+1,68.16615729231039,0.7510191,-0.039001715188192954,38.74007
13,data_raw_CNN_DNN_no_optim,1,AG11,Tiny+Small_+2,91.04721152546354,0.78465265,-0.36386108884342594,58.914337
14,data_raw_CNN_DNN_no_optim,1,AG11,Tiny+Small_+3,99.854439959811,0.79850096,-0.7527223642643821,76.45647
15,data_raw_CNN_DNN_no_optim,1,AG11,Tiny+Small_+4,104.92480566458057,0.7804623,-1.803085320550768,87.476814
16,data_raw_CNN_DNN_no_optim,1,AG11,Tiny+Small_+5,106.96710669202238,0.80886453,-1.473091000795094,87.7618
17,data_raw_CNN_DNN_no_optim,1,AG11,Tiny+Small_+6,102.31445191326834,0.8112232,-0.85787254762468,82.81237
18,data_raw_CNN_DNN_no_optim,1,AG11,Large+Mature_+1,12.237890992820144,0.58392483,-2.7835616102858354,9.050836
19,data_raw_CNN_DNN_no_optim,1,AG11,Large+Mature_+2,5.0086680617269375,0.22418208,0.6590700969970442,3.923187
20,data_raw_CNN_DNN_no_optim,1,AG11,Large+Mature_+3,10.627673721490924,0.44349378,0.3493184980058205,9.535117
21,data_raw_CNN_DNN_no_optim,1,AG11,Large+Mature_+4,20.861194179802407,0.5514591,0.10378010094224155,16.268042
22,data_raw_CNN_DNN_no_optim,1,AG11,Large+Mature_+5,29.690016340724704,0.61152184,-0.5558884232131072,23.441671
23,data_raw_CNN_DNN_no_optim,1,AG11,Large+Mature_+6,27.195563863388752,0.5166782,-1.3314846375359455,23.59497
