,neurons_CNN,neurons_dense,activation,learning_rate,optimizer,batch_size,dropout_rate,rmse_mean,rmse_std,mae_mean,mae_std,wmape_mean,wmape_std,r2_mean,r2_std
0,16,19,softplus,0.00075,<keras.optimizers.adagrad.Adagrad object at 0x00000169D4219040>,20,0.54,31.125732061450794,7.329081256462739,20.319441690631944,1.7428640097381967,0.6147956831185932,0.06834976568128238,0.2114267478639725,0.07608610932599937
1,99,42,softplus,0.00031,<keras.optimizers.adagrad.Adagrad object at 0x00000169DACC7A30>,8,0.33,30.498072207457348,7.75380103006517,19.45441157381519,2.871893219579222,0.5826518323056706,0.044756471550307805,0.25063205158012386,0.07207356489120852
2,8,84,softplus,0.00076,<keras.optimizers.adagrad.Adagrad object at 0x00000169DFF4A670>,24,0.24,31.24513332304671,7.550598681719534,19.511693576036713,2.2113776938208938,0.5872711733021615,0.049589049335066714,0.20831597402623894,0.07040348318942172
3,62,41,softplus,3e-05,<keras.optimizers.adagrad.Adagrad object at 0x00000169D60999A0>,13,0.84,31.98343293393027,7.852532985910065,20.915318514241115,2.0185112061943657,0.6313698336968443,0.06164272226530223,0.17571962018619325,0.0329709830205351
4,76,61,softplus,0.00045,<keras.optimizers.adagrad.Adagrad object at 0x00000169D94295B0>,44,0.91,35.00247271546213,8.380160597578259,23.398083109170006,2.106816004111116,0.707628129889701,0.07735687281867712,0.006746242804595526,0.0777488920288646
5,41,72,softplus,0.00049,<keras.optimizers.adagrad.Adagrad object at 0x00000169DB1AB0D0>,29,0.55,30.94679064897098,6.795211691998249,19.78412129466051,1.7630305463398581,0.5992298937295157,0.07380332572372071,0.20750958468244018,0.133932287049263
6,71,43,softplus,0.00058,<keras.optimizers.adagrad.Adagrad object at 0x00000169DA5D82E0>,18,0.12,30.412656020887717,7.146031236159822,19.130303931080437,2.0585762678262203,0.5766746322194021,0.054351444129228974,0.24884397668708513,0.05955280686517599
7,79,95,softplus,0.00038,<keras.optimizers.adagrad.Adagrad object at 0x00000169E01A5F40>,42,0.78,31.05092673617771,7.500917766627542,19.990652386581196,1.9459399411857767,0.6030256636378085,0.055007018742180856,0.21881740160634705,0.058578451615228566
8,80,35,softplus,0.00066,<keras.optimizers.adagrad.Adagrad object at 0x00000169D5B28DC0>,40,0.16,31.07900287608926,6.425377094739518,19.799494151040623,1.3197834784447355,0.601380857292878,0.08025399951445235,0.19521638005457587,0.14731124631285133
9,24,72,softplus,0.00062,<keras.optimizers.adagrad.Adagrad object at 0x00000169E024C880>,28,0.37,31.083992767076694,6.723307409296706,19.645923532224167,1.9141770392582635,0.5932758945932752,0.06077961124367351,0.20671739065067415,0.08610109460567682
10,99,42,softplus,0.00057,<keras.optimizers.adagrad.Adagrad object at 0x00000169D38271F0>,49,0.86,34.334638225052544,6.913424451625515,23.132953770955403,1.1402057652475934,0.7079086792228392,0.1270279119394735,0.01656637356789752,0.17844006109547197
11,40,20,softplus,0.00058,<keras.optimizers.adagrad.Adagrad object at 0x00000169DA5CCB50>,32,0.08,31.759817027301278,6.444632318109544,20.4715364238016,1.7123435236838014,0.6201521257392838,0.07491774090865347,0.16237169926244815,0.1313166667887363
12,26,56,softplus,0.00043,<keras.optimizers.adagrad.Adagrad object at 0x00000169D5B83CD0>,19,0.9,33.47800631802774,7.738746426691783,22.15746417419583,1.996932218055665,0.6719625435749472,0.08940570869440745,0.08556978768856385,0.09910382593125235
13,80,56,softplus,0.00029,<keras.optimizers.adagrad.Adagrad object at 0x00000169DA81E9D0>,19,0.1,31.312580696520712,7.3688780731040255,20.280281022171568,2.7708470287150093,0.6101030156264653,0.06343084415087516,0.1981379220982348,0.10338393427891708
14,21,49,softplus,0.00054,<keras.optimizers.adagrad.Adagrad object at 0x00000169D56E0070>,15,0.7,31.08043121190601,7.727497036932885,20.003081447314592,1.8051394961193834,0.6055930317148536,0.072578407816463,0.21569687941852278,0.09136920347930837
15,81,40,softplus,0.00071,<keras.optimizers.adagrad.Adagrad object at 0x00000169E07CD7C0>,47,0.38,30.953742378716793,6.959731384101789,19.745998857925137,1.6598614412273054,0.5970426596392061,0.06162806089369584,0.21266371382603594,0.1068741688133355
16,10,50,softplus,0.00059,<keras.optimizers.adagrad.Adagrad object at 0x00000169D7184EE0>,37,0.3,31.27092628879417,6.785563953415759,19.942866496556725,2.428383634101369,0.5989311566336504,0.042716835915668355,0.2027972244698125,0.0498005970946807
17,98,39,softplus,0.00054,<keras.optimizers.adagrad.Adagrad object at 0x00000169D9505130>,45,0.77,31.5705345271903,7.509453216885272,20.705891986765895,1.5982928636002862,0.6283936377277192,0.08323147176359105,0.18406849773315054,0.11502858512102987
18,96,79,softplus,0.00074,<keras.optimizers.adagrad.Adagrad object at 0x00000169DA7E5250>,13,0.63,30.73864017779632,6.8808299705866895,19.740739938090833,1.8550657111816085,0.5968904964430001,0.06653521082045903,0.22716582520439688,0.07649343205706129
19,99,80,softplus,0.00085,<keras.optimizers.adagrad.Adagrad object at 0x00000169D6072B20>,25,0.4,30.330136332488394,7.360137785792088,19.09002916033751,2.0549655871948627,0.5747357694361102,0.04642957562220218,0.25398022198485026,0.06671352183803403
20,43,10,softplus,0.0008,<keras.optimizers.adagrad.Adagrad object at 0x00000169DEDF4BB0>,43,0.11,31.151821700721076,6.93950933895123,20.011460634929684,1.7990565221668917,0.6052406768714335,0.06699162228138117,0.2032733037283349,0.09989013659099974
21,47,54,softplus,0.00019,<keras.optimizers.adagrad.Adagrad object at 0x00000169DFEBDC10>,38,0.58,31.252170218398724,6.634980712457115,20.098438234422723,1.5207589812840223,0.6091784454109134,0.07288084597476982,0.19292540613193326,0.11750771993554357
22,69,80,softplus,0.00096,<keras.optimizers.adagrad.Adagrad object at 0x00000169E1A03070>,16,0.35,30.482044913822982,7.135474025921828,19.361682102415298,2.0093249616362003,0.584179510565846,0.05814807108839823,0.24287192198039104,0.07678277623236374
23,23,23,softplus,0.00089,<keras.optimizers.adagrad.Adagrad object at 0x00000169D93FA430>,17,0.03,31.140363932085073,6.6817299455070085,19.55175481793148,1.8918186408300817,0.5912108370036169,0.06714962478759058,0.19931084264035062,0.1174639140956145
24,83,61,softplus,0.00033,<keras.optimizers.adagrad.Adagrad object at 0x00000169E04287F0>,32,0.13,31.30926347406956,6.789866278194923,19.76455066694933,1.7582541027851553,0.5977786740960015,0.06549923049467937,0.1961452150457198,0.08213369808025314
25,55,47,softplus,0.00044,<keras.optimizers.adagrad.Adagrad object at 0x00000169DA7087F0>,10,0.53,31.161707787831368,6.877712063171374,19.714323412826637,1.8863999766479498,0.5959832092841897,0.06627510681671474,0.20324190423399982,0.09118402793969428
26,9,44,softplus,0.0007,<keras.optimizers.adagrad.Adagrad object at 0x00000169DAAB9130>,8,0.68,31.979011969672143,7.268837305462086,20.799774046972683,1.500658127787362,0.6315579968403214,0.08442670289541494,0.16205290596658456,0.10126027128087961
