,Model,Iter_n,FarmID,Target,rmse,wmape,r2,mae
0,data_raw_CNN_LSTM_no_optim,1,AG10,Tiny+Small_+1,54.81553984230316,0.4821813,0.4626263598785044,31.301603
1,data_raw_CNN_LSTM_no_optim,1,AG10,Tiny+Small_+2,74.67230167015578,0.49970144,0.23194853207776944,45.431187
2,data_raw_CNN_LSTM_no_optim,1,AG10,Tiny+Small_+3,83.33238931756968,0.54231983,-0.05882584173294392,60.604244
3,data_raw_CNN_LSTM_no_optim,1,AG10,Tiny+Small_+4,79.354128038299,0.49834523,0.015420334616828457,56.105366
4,data_raw_CNN_LSTM_no_optim,1,AG10,Tiny+Small_+5,79.11592500782476,0.53867745,0.13153323743758727,58.177166
5,data_raw_CNN_LSTM_no_optim,1,AG10,Tiny+Small_+6,86.535442522125,0.71951956,0.12005259917824207,71.17248
6,data_raw_CNN_LSTM_no_optim,1,AG10,Large+Mature_+1,19.96249000200321,0.32256317,-0.38582296054167897,16.18192
7,data_raw_CNN_LSTM_no_optim,1,AG10,Large+Mature_+2,23.407675033806353,0.36373177,-0.8998863317961538,18.277521
8,data_raw_CNN_LSTM_no_optim,1,AG10,Large+Mature_+3,23.414748071377872,0.32459965,-0.4510378741809322,17.041483
9,data_raw_CNN_LSTM_no_optim,1,AG10,Large+Mature_+4,26.028671888014305,0.26456523,0.594005630866663,17.152647
10,data_raw_CNN_LSTM_no_optim,1,AG10,Large+Mature_+5,29.487052533100755,0.26627937,0.5124015537611708,19.593725
11,data_raw_CNN_LSTM_no_optim,1,AG10,Large+Mature_+6,26.214768954315144,0.22386588,0.5155251332236006,17.610783
12,data_raw_CNN_LSTM_no_optim,1,AG11,Tiny+Small_+1,56.68572773208107,0.61679167,0.2815011454992945,31.81617
13,data_raw_CNN_LSTM_no_optim,1,AG11,Tiny+Small_+2,86.02141641493269,0.77296007,-0.21744684190633046,58.03642
14,data_raw_CNN_LSTM_no_optim,1,AG11,Tiny+Small_+3,101.88090952952128,0.8313278,-0.8245847696599011,79.59963
15,data_raw_CNN_LSTM_no_optim,1,AG11,Tiny+Small_+4,109.33034802834938,0.8262457,-2.0434167852402982,92.608376
16,data_raw_CNN_LSTM_no_optim,1,AG11,Tiny+Small_+5,105.37924442816052,0.7958619,-1.4002127377939542,86.35101
17,data_raw_CNN_LSTM_no_optim,1,AG11,Tiny+Small_+6,99.68991474348094,0.7898695,-0.76377992778964,80.632515
18,data_raw_CNN_LSTM_no_optim,1,AG11,Large+Mature_+1,6.5386445015557015,0.34279814,-0.08009788144053442,5.313372
19,data_raw_CNN_LSTM_no_optim,1,AG11,Large+Mature_+2,3.855881936485825,0.18313438,0.7979457349167793,3.204852
20,data_raw_CNN_LSTM_no_optim,1,AG11,Large+Mature_+3,8.419156854961042,0.3343094,0.5916531312348299,7.187653
21,data_raw_CNN_LSTM_no_optim,1,AG11,Large+Mature_+4,12.107288126630587,0.38154614,0.6981229976998578,11.255611
22,data_raw_CNN_LSTM_no_optim,1,AG11,Large+Mature_+5,22.221114364135396,0.48922485,0.12845624246740528,18.753618
23,data_raw_CNN_LSTM_no_optim,1,AG11,Large+Mature_+6,23.40303846667471,0.43298644,-0.7265569464216186,19.773046
24,data_raw_CNN_LSTM_no_optim,1,DA4,Tiny+Small_+1,22.309811555689812,0.53784424,0.5993785006919155,18.91419
25,data_raw_CNN_LSTM_no_optim,1,DA4,Tiny+Small_+2,29.09963605200888,0.5542349,0.1951951587964873,22.446516
26,data_raw_CNN_LSTM_no_optim,1,DA4,Tiny+Small_+3,27.451280752296537,0.61380357,0.2449012206715263,25.319397
27,data_raw_CNN_LSTM_no_optim,1,DA4,Tiny+Small_+4,25.595475321501528,0.4658916,0.2988540497566281,19.606272
