,Model,Iter_n,FarmID,Target,rmse,wmape,r2,mae
0,data_raw_DNN_no_optim,1,AG10,Tiny+Small_+1,37.029179794453995,0.34229338,0.7547792906168352,22.220545
1,data_raw_DNN_no_optim,1,AG10,Tiny+Small_+2,64.31638335578852,0.51296645,0.43021045129643787,46.637203
2,data_raw_DNN_no_optim,1,AG10,Tiny+Small_+3,77.44476358185878,0.5279322,0.08550571921906225,58.996426
3,data_raw_DNN_no_optim,1,AG10,Tiny+Small_+4,84.90848416733012,0.5735068,-0.12723372981104264,64.56731
4,data_raw_DNN_no_optim,1,AG10,Tiny+Small_+5,89.75766256025861,0.64498556,-0.11781124996274484,69.65844
5,data_raw_DNN_no_optim,1,AG10,Tiny+Small_+6,85.1446924496398,0.6527683,0.14810942184609754,64.569664
6,data_raw_DNN_no_optim,1,AG10,Large+Mature_+1,19.311946132581625,0.32909775,-0.2969711936824404,16.509737
7,data_raw_DNN_no_optim,1,AG10,Large+Mature_+2,23.1910729958581,0.382699,-0.8648880211039418,19.230625
8,data_raw_DNN_no_optim,1,AG10,Large+Mature_+3,27.361097175951752,0.36730358,-0.9813756457355647,19.283438
9,data_raw_DNN_no_optim,1,AG10,Large+Mature_+4,31.217360884697936,0.34498882,0.41600605473369057,22.366776
10,data_raw_DNN_no_optim,1,AG10,Large+Mature_+5,30.859410601245287,0.2876723,0.46595870149868157,21.167889
11,data_raw_DNN_no_optim,1,AG10,Large+Mature_+6,37.7345836562554,0.31918168,-0.003825608864219454,25.108957
12,data_raw_DNN_no_optim,1,AG11,Tiny+Small_+1,63.98561125179336,0.730818,0.0845317625239409,37.69803
13,data_raw_DNN_no_optim,1,AG11,Tiny+Small_+2,83.69218211790304,0.7257728,-0.15240890977577615,54.49344
14,data_raw_DNN_no_optim,1,AG11,Tiny+Small_+3,94.18584624460567,0.7415662,-0.5593717662406861,71.00497
15,data_raw_DNN_no_optim,1,AG11,Tiny+Small_+4,101.85774873107347,0.7417815,-1.6416064357480753,83.141335
16,data_raw_DNN_no_optim,1,AG11,Tiny+Small_+5,98.0683604447046,0.7313473,-1.0787269018421224,79.35119
17,data_raw_DNN_no_optim,1,AG11,Tiny+Small_+6,93.51014629941234,0.77230227,-0.5518846280872685,78.839195
18,data_raw_DNN_no_optim,1,AG11,Large+Mature_+1,8.412857351889558,0.47196886,-0.7880297490370167,7.315519
19,data_raw_DNN_no_optim,1,AG11,Large+Mature_+2,7.782746810651184,0.40720028,0.1768359140886363,7.1260056
20,data_raw_DNN_no_optim,1,AG11,Large+Mature_+3,11.425143545238146,0.44634256,0.2480042910625726,9.596366
21,data_raw_DNN_no_optim,1,AG11,Large+Mature_+4,16.338062354335065,0.4550058,0.450285266375021,13.422671
22,data_raw_DNN_no_optim,1,AG11,Large+Mature_+5,21.24336623821327,0.47797918,0.20346623627016747,18.322535
23,data_raw_DNN_no_optim,1,AG11,Large+Mature_+6,24.3354722567888,0.4752966,-0.8668781484216475,21.70521
24,data_raw_DNN_no_optim,1,DA4,Tiny+Small_+1,36.48833958652065,0.88994926,-0.0716443259134738,31.296549
25,data_raw_DNN_no_optim,1,DA4,Tiny+Small_+2,35.91210549785493,0.68298316,-0.22573673221531387,27.660818
26,data_raw_DNN_no_optim,1,DA4,Tiny+Small_+3,33.08426150566157,0.69438624,-0.0967847614142201,28.643433
27,data_raw_DNN_no_optim,1,DA4,Tiny+Small_+4,30.55121352662147,0.590863,0.0010610275611364628,24.865484
28,data_raw_DNN_no_optim,1,DA4,Tiny+Small_+5,34.029538954919374,0.8337726,0.007042165394047339,28.626192
29,data_raw_DNN_no_optim,1,DA4,Tiny+Small_+6,34.069922858067756,1.5939949,-1.1663822594200948,32.145565
30,data_raw_DNN_no_optim,1,DA4,Large+Mature_+1,9.919769400100583,0.7120092,-0.21514996217629934,8.010105
31,data_raw_DNN_no_optim,1,DA4,Large+Mature_+2,11.067651960640749,0.5592027,-0.3427969231963177,9.040443
32,data_raw_DNN_no_optim,1,DA4,Large+Mature_+3,16.919695402970376,0.6247174,-2.0320502212377956,12.4943495
33,data_raw_DNN_no_optim,1,DA4,Large+Mature_+4,20.103296933772377,0.8029303,-3.598334898888928,16.727716
34,data_raw_DNN_no_optim,1,DA4,Large+Mature_+5,17.582540244104287,0.7407407,-2.4485230117909915,15.370372
35,data_raw_DNN_no_optim,1,DA4,Large+Mature_+6,16.17341383831957,0.6123279,-1.917919730239058,12.705806
36,data_raw_DNN_no_optim,1,SP23,Tiny+Small_+1,51.17571073410339,0.5454364,0.05842910855537897,41.907696
37,data_raw_DNN_no_optim,1,SP23,Tiny+Small_+2,83.30307523585189,0.7122412,-1.3880251249770317,63.033344
38,data_raw_DNN_no_optim,1,SP23,Tiny+Small_+3,89.64751939889358,0.7683089,-2.058484443337876,70.68442
39,data_raw_DNN_no_optim,1,SP23,Tiny+Small_+4,88.17297840661702,0.82233506,-1.4513123485321255,72.639595
40,data_raw_DNN_no_optim,1,SP23,Tiny+Small_+5,80.9579607342601,0.7752071,-0.5727962870349204,60.98296
41,data_raw_DNN_no_optim,1,SP23,Tiny+Small_+6,75.95821476723239,0.8896349,-0.18415744962463076,56.121136
