,Model,Iter_n,FarmID,Target,rmse,wmape,r2,mae
0,data_raw_LSTM_DNN_no_optim,1,DA4,Tiny+Small_+1,31.185177571288737,0.801105987404195,0.2172215086191217,28.17222722371419
1,data_raw_LSTM_DNN_no_optim,1,DA4,Tiny+Small_+2,27.66085117655054,0.5665083441714691,0.2728122719994195,22.9435879389445
2,data_raw_LSTM_DNN_no_optim,1,DA4,Tiny+Small_+3,35.36609908725322,0.7069672247376105,-0.2532936622585604,29.162398020426433
3,data_raw_LSTM_DNN_no_optim,1,DA4,Tiny+Small_+4,39.68385509310889,0.7513442011162786,-0.685426150527499,31.61906846364339
4,data_raw_LSTM_DNN_no_optim,1,DA4,Tiny+Small_+5,40.72727038649971,0.8915087598041423,-0.4222937288696178,30.60846741994222
5,data_raw_LSTM_DNN_no_optim,1,DA4,Tiny+Small_+6,22.95634966130247,0.8472610189894999,0.016445454311195262,17.086430549621582
6,data_raw_LSTM_DNN_no_optim,1,DA4,Large+Mature_+1,12.365822067331594,0.9631766707808883,-0.8883073473741812,10.835737546284994
7,data_raw_LSTM_DNN_no_optim,1,DA4,Large+Mature_+2,12.06482945162522,0.6415897251404438,-0.595665027126955,10.372367223103842
8,data_raw_LSTM_DNN_no_optim,1,DA4,Large+Mature_+3,8.852367031154264,0.3891800880432129,0.17001515917810794,7.783601760864258
9,data_raw_LSTM_DNN_no_optim,1,DA4,Large+Mature_+4,6.417312276180018,0.2925213317871094,0.5314322735144161,6.094194412231445
10,data_raw_LSTM_DNN_no_optim,1,DA4,Large+Mature_+5,8.492478739115063,0.3137619447516629,0.19547632664479997,6.510560353597005
11,data_raw_LSTM_DNN_no_optim,1,DA4,Large+Mature_+6,16.548531455735525,0.6107085047955494,-2.0548424077133323,12.67220147450765
12,data_raw_LSTM_DNN_no_optim,1,SP23,Tiny+Small_+1,81.43261463914087,0.7614351632538173,-1.3840866264948164,58.503601710001625
13,data_raw_LSTM_DNN_no_optim,1,SP23,Tiny+Small_+2,97.17158170387765,0.8753535635278274,-2.249341730664461,77.46879037221272
14,data_raw_LSTM_DNN_no_optim,1,SP23,Tiny+Small_+3,97.22514203470523,0.8885720985523169,-2.5973848447299015,81.74863306681316
15,data_raw_LSTM_DNN_no_optim,1,SP23,Tiny+Small_+4,100.91673688896269,0.9590918558948445,-2.2111018097969835,84.7197806040446
16,data_raw_LSTM_DNN_no_optim,1,SP23,Tiny+Small_+5,94.36800177993493,0.9257252822488041,-1.1369918101437197,72.82372220357259
17,data_raw_LSTM_DNN_no_optim,1,SP23,Tiny+Small_+6,85.74380611378233,0.9827614586450937,-0.5089172663167392,61.99586868286133
18,data_raw_LSTM_DNN_no_optim,1,SP23,Large+Mature_+1,20.71606185600225,0.4779338037182471,-1.323246297380693,13.302490870157877
19,data_raw_LSTM_DNN_no_optim,1,SP23,Large+Mature_+2,31.970868678608912,0.5974526132544337,-1.3455077517463603,21.757232666015625
20,data_raw_LSTM_DNN_no_optim,1,SP23,Large+Mature_+3,44.30007059507218,0.7039833269621196,-1.8149599637509617,33.439208030700684
21,data_raw_LSTM_DNN_no_optim,1,SP23,Large+Mature_+4,49.84193438488649,0.8570643787833576,-3.0914934228284334,42.42468674977621
22,data_raw_LSTM_DNN_no_optim,1,SP23,Large+Mature_+5,48.935799540604485,0.8693507941090706,-2.284771498096461,41.36660861968994
23,data_raw_LSTM_DNN_no_optim,1,SP23,Large+Mature_+6,54.45614349730355,1.0193290353267828,-2.2380035282244757,45.36014207204183
24,data_raw_LSTM_DNN_no_optim,1,GA20,Tiny+Small_+1,15.597143397606779,0.6035551364605244,-0.3963252165112108,13.077027956644693
25,data_raw_LSTM_DNN_no_optim,1,GA20,Tiny+Small_+2,19.806558289718033,0.8475082127128061,-1.2146449813743034,17.938923835754395
