,neurons_LSTM,neurons_dense,activation_dense,learning_rate,optimizer,batch_size,dropout,rmse_mean,rmse_std,mae_mean,mae_std,wmape_mean,wmape_std,r2_mean,r2_std
0,97,24,linear,0.0004,<keras.optimizers.adadelta.Adadelta object at 0x0000023A29F69A60>,25,0.35,34.91089765619628,6.559179672551688,22.985907298267296,2.0920302444770216,0.694811661188595,0.06255275434780994,-0.011301408617639286,0.12742522730780376
1,30,54,linear,0.00038,<keras.optimizers.adadelta.Adadelta object at 0x0000023A045C32E0>,5,0.99,35.07121912908518,7.555415546688218,23.705053524608637,1.1766821201487567,0.7229035415401571,0.10504933069320593,-0.009256946010077116,0.10972919153025343
2,56,41,linear,0.00014,<keras.optimizers.adadelta.Adadelta object at 0x0000023A03F554F0>,7,0.03,35.7605895027396,6.334721174317459,23.847400325790847,2.145646390702368,0.7211356145835887,0.06725073391669471,-0.07066037759463095,0.17461780454063264
3,34,10,linear,0.00059,<keras.optimizers.adadelta.Adadelta object at 0x00000239EDD26BE0>,24,0.44,34.858104671196614,6.526866837613514,23.202349578977778,1.5602112270316484,0.7052238050309272,0.08881507166156544,-0.012637059622625157,0.15669144227225748
4,43,78,linear,0.00016,<keras.optimizers.adadelta.Adadelta object at 0x0000023A2CD98EE0>,23,0.18,35.62757191313242,6.429840589805924,23.63459979273687,1.9363278414396528,0.7156588711316623,0.07168311783656087,-0.05963828625779133,0.15986221484165491
5,98,32,linear,0.00014,<keras.optimizers.adadelta.Adadelta object at 0x0000023A017B39D0>,28,0.04,35.289234241689286,6.374411531151807,23.318688459754807,2.0295313822578116,0.7054172237991504,0.06681536767453998,-0.03845329572752006,0.1498277383842545
6,84,14,linear,1e-05,<keras.optimizers.adadelta.Adadelta object at 0x0000023A2D3FA610>,20,0.19,34.73378858152448,6.600854305319835,22.675586535633023,2.0136594222633333,0.6858092608835223,0.0644154243050473,-0.0007795475701817267,0.12987273421419884
7,38,94,linear,0.00017,<keras.optimizers.adadelta.Adadelta object at 0x0000023A045AFBE0>,16,0.74,35.02413977599254,6.986095427686054,22.950934276743027,2.3419943848037885,0.6921906488983153,0.052949734461841334,-0.010700108614712956,0.10478119993532542
8,90,62,linear,0.00082,<keras.optimizers.adadelta.Adadelta object at 0x0000023A11F63E80>,17,0.49,35.08706906855849,6.439755314931306,23.158677420873865,2.024397468066611,0.7005453066770644,0.0662330750284931,-0.026982852180441986,0.15670312065553113
9,98,94,linear,0.00058,<keras.optimizers.adadelta.Adadelta object at 0x0000023A2C073700>,45,0.53,34.78743246692754,6.769067991169712,22.80887459482054,2.279515986821728,0.6883329863060672,0.05576134734984198,-0.001013340255358841,0.11953167142850378
10,34,88,linear,0.00011,<keras.optimizers.adadelta.Adadelta object at 0x0000023A10655340>,15,0.89,34.46864183397344,6.885042250659427,22.967551109805846,2.0886963705570882,0.6944603451230991,0.06466162070521725,0.019882249617147397,0.10853044840213359
11,44,35,linear,0.00066,<keras.optimizers.adadelta.Adadelta object at 0x0000023A1063C940>,41,0.29,35.12679820979794,6.395700179708578,23.33331609949392,1.7470060422962264,0.7076229909798482,0.0778608546251729,-0.029985197628193204,0.15872051636186713
12,5,13,linear,0.00092,<keras.optimizers.adadelta.Adadelta object at 0x0000023A2CB6CEB0>,26,0.29,35.64376840642366,6.458948441569888,24.116332502917167,1.7201142222990713,0.7320888140952689,0.0853466587228647,-0.06127256620445609,0.1669935471458846
13,64,52,linear,0.00039,<keras.optimizers.adadelta.Adadelta object at 0x0000023A2B8A2E50>,46,0.05,35.52220596501665,6.232514816593423,23.397033977487617,1.7151002032556875,0.7101214688500765,0.08239885671090827,-0.0578064153347063,0.17691492675635653
14,56,75,linear,0.00026,<keras.optimizers.adadelta.Adadelta object at 0x0000023A10CD3DF0>,7,0.21,35.810767915635296,6.738219059583652,24.06860881771407,2.6495543510725073,0.7259664052591464,0.06226937230806806,-0.06833177387583808,0.1648810657749847
15,78,41,linear,0.00011,<keras.optimizers.adadelta.Adadelta object at 0x0000023A2CE78430>,25,0.61,34.52853079213719,6.779068417292347,22.593994821629572,2.0710421507828225,0.6829141446082215,0.06140683602969429,0.014542259336885998,0.11678134555101144
16,5,79,linear,0.00024,<keras.optimizers.adadelta.Adadelta object at 0x0000023A2EA687F0>,31,0.36,36.0590349197382,6.848666662011742,23.99303722513981,1.5366395402234192,0.7310307107071395,0.10589151042277459,-0.08952205757702894,0.20933411801957608
17,69,52,linear,0.001,<keras.optimizers.adadelta.Adadelta object at 0x0000023A2854A760>,25,0.15,35.44773429101626,5.89425173824603,23.506641515912346,1.6493555145846253,0.7138021553277836,0.08491252069641765,-0.058510365836404496,0.19032625661071592
18,97,83,linear,0.00076,<keras.optimizers.adadelta.Adadelta object at 0x0000023A2CB21BB0>,24,0.95,33.98017253227757,7.148286386368756,22.68972262813427,1.3871950351678797,0.6903083127631515,0.0902424859665482,0.04936100976822908,0.11542738978287953
19,62,38,linear,0.00082,<keras.optimizers.adadelta.Adadelta object at 0x0000023A3246C820>,40,0.11,34.944189671329205,6.522470034446637,22.952225638935108,2.3120328839770243,0.692447455351104,0.0542886794555583,-0.014795499885502128,0.13646605146439533
20,6,56,linear,0.00076,<keras.optimizers.adadelta.Adadelta object at 0x0000023982DA1280>,36,0.17,35.87663132723238,6.5278399040297455,23.8277784627331,1.553606820556819,0.7243193253060404,0.09090064829903949,-0.07633791901472231,0.17733806801344268
21,36,81,linear,0.00032,<keras.optimizers.adadelta.Adadelta object at 0x0000023A2D5A4B50>,14,0.92,34.20205510836591,7.3281494486471255,22.65482661968069,1.6856090087948166,0.6881040469848638,0.08541046826297269,0.03804230067771055,0.11759847030321736
22,25,5,linear,0.00069,<keras.optimizers.adadelta.Adadelta object at 0x0000023A2BD58850>,32,0.89,34.81768446613128,7.671762646631912,23.43185805554907,1.3507676166426332,0.71338354547246,0.09639535581594895,0.008285112405375772,0.09828174153566509
23,30,96,linear,0.001,<keras.optimizers.adadelta.Adadelta object at 0x0000023A28049D60>,15,0.08,35.74354675794209,6.310733208840238,23.803401006062828,2.001911802633822,0.7209729655860266,0.0754751415601014,-0.07099382279161556,0.1823862291464839
24,19,45,linear,0.00075,<keras.optimizers.adadelta.Adadelta object at 0x0000023A10F29E80>,7,0.52,35.437385335667145,6.38767019608657,23.58175856581637,1.7585391504825507,0.7152671544971501,0.07960092722078803,-0.05058450315364018,0.17215338996846508
25,24,32,linear,0.00044,<keras.optimizers.adadelta.Adadelta object at 0x0000023982C5E9D0>,38,0.13,35.325056176836725,6.575670637412919,23.3342567087286,1.7512165155393074,0.707734810492602,0.0788604645986295,-0.0423724197938369,0.1734943299817089
26,75,63,linear,0.00041,<keras.optimizers.adadelta.Adadelta object at 0x00000239EDE6A160>,23,0.85,34.15923352359241,6.867493972521095,22.555311412288,1.8048080944001734,0.6836461053695579,0.07410648060661483,0.03492944181754809,0.1279783703508426
27,71,78,linear,0.00083,<keras.optimizers.adadelta.Adadelta object at 0x0000023A2C5EF7C0>,36,0.44,35.27307380907009,6.173415995145183,23.328099022073836,1.8833335347906541,0.7071711440366131,0.07800618921224375,-0.04267401496298719,0.17182201994712765
28,53,5,linear,0.00035,<keras.optimizers.adadelta.Adadelta object at 0x000002398462B580>,38,0.75,34.45587284256136,7.677280279981947,23.107098861767597,1.596747156377486,0.7016140255598178,0.08252754278873049,0.03143775930131543,0.08067784925021561
29,69,17,linear,0.00063,<keras.optimizers.adadelta.Adadelta object at 0x0000023A29078C70>,18,0.04,35.44592028840511,6.428004241670124,23.466540388287832,2.1429240045429907,0.7092496160145446,0.06315894634008846,-0.04757047039873665,0.15165227692408093
30,67,15,linear,0.00051,<keras.optimizers.adadelta.Adadelta object at 0x0000023A116306A0>,18,0.65,34.29073219772511,6.6916896665576475,22.858356487530575,1.5569465692110902,0.6941486436972297,0.08193049113039837,0.024835103723885955,0.13462962228743952
31,8,46,linear,0.00034,<keras.optimizers.adadelta.Adadelta object at 0x0000023A2C045340>,15,0.12,35.913060419985364,6.510659061870022,23.86272924941786,1.985899850605474,0.7231328763124734,0.07885361935337638,-0.07859076891113222,0.1769166602101802
32,13,92,linear,2e-05,<keras.optimizers.adadelta.Adadelta object at 0x0000023A2FAC8460>,31,0.77,35.339864859312975,6.420428479111037,23.542691265598084,1.8498077672350517,0.7139361942519444,0.08003588581190996,-0.042533485290292085,0.16042772126203259
33,90,13,linear,0.00028,<keras.optimizers.adadelta.Adadelta object at 0x00000239826AAEB0>,7,0.7,33.65818809167206,7.447296068241405,22.327710393484402,2.2859318916110585,0.6738234492805389,0.05627411895511775,0.07554982779039485,0.07714749130252056
