,Model,Iter_n,loss,root_mean_squared_error,mean_absolute_error,val_loss,val_root_mean_squared_error,val_mean_absolute_error
0,data_raw_LSTM_DNN_optim_lag_6,1,1.044346570968628,1.0219327211380005,0.7092234492301941,0.9836601614952087,0.9917963147163391,0.6846640110015869
1,data_raw_LSTM_DNN_optim_lag_6,1,1.0162856578826904,1.0081100463867188,0.6910371780395508,0.9654176235198975,0.9825567603111267,0.6648522615432739
2,data_raw_LSTM_DNN_optim_lag_6,1,0.9701720476150513,0.984973132610321,0.6626458168029785,0.9427608251571655,0.9709586501121521,0.6619685888290405
3,data_raw_LSTM_DNN_optim_lag_6,1,0.9101940393447876,0.9540408253669739,0.6424968242645264,0.9250293374061584,0.9617844223976135,0.6528198719024658
4,data_raw_LSTM_DNN_optim_lag_6,1,0.848601758480072,0.9211957454681396,0.6174286007881165,0.8954818844795227,0.9462990164756775,0.6397004127502441
5,data_raw_LSTM_DNN_optim_lag_6,1,0.7877030372619629,0.8875262141227722,0.5947093963623047,0.8741692900657654,0.9349702596664429,0.6459791660308838
6,data_raw_LSTM_DNN_optim_lag_6,1,0.7313631772994995,0.8551976680755615,0.5752647519111633,0.8843368291854858,0.9403918981552124,0.6552897691726685
7,data_raw_LSTM_DNN_optim_lag_6,1,0.6851426362991333,0.8277334570884705,0.5567644834518433,0.8901129961013794,0.9434579610824585,0.6552314162254333
8,data_raw_LSTM_DNN_optim_lag_6,1,0.6533292531967163,0.8082879185676575,0.5436674356460571,0.878716766834259,0.9373988509178162,0.6507877111434937
9,data_raw_LSTM_DNN_optim_lag_6,1,0.627702534198761,0.7922768592834473,0.53138267993927,0.8949601054191589,0.9460233449935913,0.6731857657432556
10,data_raw_LSTM_DNN_optim_lag_6,1,0.6070110201835632,0.7791091799736023,0.5249587297439575,0.9171922206878662,0.9577014446258545,0.6786578297615051
0,data_raw_LSTM_DNN_optim_lag_6,2,1.093953251838684,1.045921802520752,0.702158510684967,1.431526780128479,1.1964643001556396,0.7386325001716614
1,data_raw_LSTM_DNN_optim_lag_6,2,1.021772027015686,1.0108274221420288,0.6785203814506531,1.3636298179626465,1.167745590209961,0.6975648999214172
2,data_raw_LSTM_DNN_optim_lag_6,2,0.9171276092529297,0.9576677083969116,0.628621518611908,1.3038171529769897,1.141848087310791,0.6943539381027222
3,data_raw_LSTM_DNN_optim_lag_6,2,0.839311957359314,0.9161394834518433,0.6038371324539185,1.2689136266708374,1.1264605522155762,0.6764152646064758
4,data_raw_LSTM_DNN_optim_lag_6,2,0.7856619954109192,0.886375904083252,0.5862246155738831,1.2612930536270142,1.1230729818344116,0.6671382188796997
5,data_raw_LSTM_DNN_optim_lag_6,2,0.7476800084114075,0.8646849393844604,0.5719989538192749,1.2655619382858276,1.1249721050262451,0.6894041299819946
6,data_raw_LSTM_DNN_optim_lag_6,2,0.7192520499229431,0.8480873107910156,0.5617902874946594,1.2601429224014282,1.122560977935791,0.6841769218444824
7,data_raw_LSTM_DNN_optim_lag_6,2,0.6979336142539978,0.8354243040084839,0.5538731217384338,1.2730958461761475,1.1283154487609863,0.6837172508239746
8,data_raw_LSTM_DNN_optim_lag_6,2,0.6809871792793274,0.8252193927764893,0.5454501509666443,1.269779086112976,1.1268446445465088,0.6864439249038696
9,data_raw_LSTM_DNN_optim_lag_6,2,0.6638885140419006,0.8147937655448914,0.540549099445343,1.2713119983673096,1.1275246143341064,0.6631991863250732
10,data_raw_LSTM_DNN_optim_lag_6,2,0.6497113108634949,0.8060465455055237,0.5340490937232971,1.2775393724441528,1.130282998085022,0.6699516177177429
11,data_raw_LSTM_DNN_optim_lag_6,2,0.6349175572395325,0.7968171238899231,0.5274019241333008,1.263704538345337,1.1241462230682373,0.6773668527603149
0,data_raw_LSTM_DNN_optim_lag_6,3,1.1602529287338257,1.077150583267212,0.7039749622344971,0.9741247892379761,0.9869775772094727,0.6709079146385193
1,data_raw_LSTM_DNN_optim_lag_6,3,1.0629606246948242,1.0309998989105225,0.6503807902336121,0.859167754650116,0.9269130825996399,0.6122164726257324
2,data_raw_LSTM_DNN_optim_lag_6,3,0.9381161332130432,0.9685641527175903,0.6094797253608704,0.7970292568206787,0.8927649259567261,0.5940768122673035
3,data_raw_LSTM_DNN_optim_lag_6,3,0.8412801623344421,0.9172132611274719,0.5790575742721558,0.7598738074302673,0.8717073798179626,0.5807068943977356
4,data_raw_LSTM_DNN_optim_lag_6,3,0.7832853198051453,0.8850338459014893,0.5623213052749634,0.766033947467804,0.8752336502075195,0.5923017263412476
5,data_raw_LSTM_DNN_optim_lag_6,3,0.7436575889587402,0.8623558282852173,0.549163818359375,0.7489491701126099,0.8654183745384216,0.5841835141181946
6,data_raw_LSTM_DNN_optim_lag_6,3,0.7162972092628479,0.846343457698822,0.5399772524833679,0.7457882761955261,0.8635903596878052,0.5710105895996094
7,data_raw_LSTM_DNN_optim_lag_6,3,0.6952950954437256,0.8338435292243958,0.5318847894668579,0.7565983533859253,0.86982661485672,0.5935505032539368
8,data_raw_LSTM_DNN_optim_lag_6,3,0.6789834499359131,0.8240044116973877,0.5242592692375183,0.7493235468864441,0.8656347990036011,0.5819260478019714
9,data_raw_LSTM_DNN_optim_lag_6,3,0.661899209022522,0.8135716915130615,0.5184499025344849,0.7581676840782166,0.8707283139228821,0.5847429633140564
10,data_raw_LSTM_DNN_optim_lag_6,3,0.6464592218399048,0.8040269017219543,0.513299286365509,0.7581517696380615,0.8707188367843628,0.5829554200172424
