iter	Passed	Remaining
0	219	219376
1	304	151823
2	388	128949
3	479	119405
4	578	115210
5	677	112191
6	775	110061
7	871	108106
8	960	105734
9	1055	104539
10	1162	104480
11	1274	104907
12	1383	105067
13	1493	105193
14	1605	105410
15	1710	105224
16	1817	105091
17	1919	104746
18	2022	104401
19	2116	103695
20	2227	103821
21	2322	103231
22	2413	102510
23	2510	102113
24	2610	101817
25	2699	101109
26	2789	100518
27	2885	100175
28	2972	99522
29	3064	99075
30	3160	98805
31	3262	98702
32	3367	98688
33	3467	98507
34	3555	98022
35	3646	97657
36	3733	97178
37	3819	96690
38	3908	96315
39	3993	95840
40	4079	95417
41	4170	95136
42	4256	94732
43	4342	94345
44	4430	94021
45	4515	93638
46	4601	93298
47	4688	92983
48	4773	92653
49	4864	92423
50	4954	92198
51	5043	91939
52	5127	91610
53	5217	91409
54	5305	91162
55	5391	90878
56	5477	90614
57	5561	90328
58	5646	90061
59	5737	89884
60	5831	89760
61	5918	89535
62	6008	89365
63	6098	89195
64	6186	88987
65	6277	88832
66	6368	88677
67	6457	88509
68	6550	88382
69	6635	88152
70	6721	87943
71	6811	87793
72	6902	87656
73	6990	87469
74	7079	87309
75	7166	87130
76	7251	86919
77	7340	86772
78	7431	86636
79	7517	86456
80	7606	86300
81	7692	86119
82	7777	85925
83	7866	85781
84	7952	85608
85	8036	85409
86	8121	85232
87	8210	85087
88	8298	84940
89	8385	84789
90	8471	84623
91	8554	84429
92	8639	84261
93	8729	84135
94	8818	84006
95	8910	83908
96	9000	83785
97	9084	83611
98	9171	83467
99	9258	83325
100	9341	83146
101	9430	83028
102	9518	82890
103	9600	82713
104	9687	82575
105	9775	82447
106	9866	82346
107	9959	82261
108	10048	82143
109	10135	82001
110	10224	81885
111	10311	81754
112	10397	81614
113	10484	81483
114	10569	81339
115	10653	81188
116	10741	81065
117	10835	80988
118	10924	80875
119	11016	80789
120	11104	80667
121	11191	80538
122	11278	80415
123	11368	80310
124	11454	80184
125	11542	80062
126	11642	80030
127	11734	79940
128	11825	79845
129	11914	79737
130	12001	79611
131	12089	79499
132	12177	79379
133	12263	79253
134	12350	79132
135	12438	79020
136	12525	78898
137	12609	78763
138	12693	78625
139	12780	78510
140	12868	78399
141	12957	78292
142	13042	78162
143	13128	78044
144	13217	77937
145	13304	77823
146	13391	77709
147	13481	77608
148	13563	77468
149	13651	77356
150	13737	77241
151	13823	77121
152	13917	77048
153	14011	76969
154	14097	76856
155	14190	76773
156	14277	76660
157	14363	76545
158	14455	76460
159	14539	76332
160	14621	76197
161	14709	76088
162	14793	75963
163	14878	75844
164	14963	75722
165	15048	75604
166	15133	75487
167	15223	75393
168	15310	75282
169	15392	75152
170	15476	75027
171	15562	74917
172	15646	74795
173	15731	74681
174	15819	74576
175	15913	74505
176	16004	74417
177	16088	74296
178	16172	74177
179	16256	74059
180	16343	73952
181	16427	73831
182	16513	73722
183	16597	73604
184	16678	73475
185	16763	73364
186	16847	73246
187	16928	73118
188	17016	73017
189	17097	72891
190	17181	72775
191	17271	72682
192	17353	72560
193	17437	72448
194	17522	72338
195	17612	72248
196	17700	72148
197	17785	72039
198	17874	71947
199	17960	71842
200	18051	71756
201	18139	71658
202	18226	71557
203	18318	71478
204	18405	71376
205	18493	71279
206	18581	71182
207	18666	71078
208	18752	70972
209	18844	70892
210	18934	70801
211	19025	70718
212	19121	70651
213	19216	70580
214	19304	70484
