Date,Country,Total
1997-10-01,Cote d Ivoire,111.0
1997-10-01,Cote d Ivoire,197.0
1997-10-01,Cote d Ivoire,106.0
1997-10-01,Cote d Ivoire,231.0
1997-10-01,Cote d Ivoire,192.0
1997-10-01,Cote d Ivoire,253.0
1997-10-01,Cote d Ivoire,22.0
1997-10-01,Cote d Ivoire,125.0
1997-10-01,Cote d Ivoire,123.0
1997-10-01,Cote d Ivoire,158.0
1997-10-01,Cote d Ivoire,147.0
1997-10-01,Cote d Ivoire,71.0
1997-10-01,Cote d Ivoire,74.0
1997-10-01,Cote d Ivoire,54.0
1997-10-01,Cote d Ivoire,41.0
1997-10-01,Cote d Ivoire,174.0
1997-10-01,Cote d Ivoire,186.0
1997-10-01,Cote d Ivoire,105.0
1997-10-01,Cote d Ivoire,48.0
1997-10-01,Cote d Ivoire,149.0
1997-10-01,Cote d Ivoire,59.0
1997-10-01,Cote d Ivoire,115.0
1997-10-01,Cote d Ivoire,210.0
1997-10-01,Cote d Ivoire,203.0
1997-10-01,Cote d Ivoire,148.0
1997-10-01,Cote d Ivoire,79.0
1997-10-01,Cote d Ivoire,159.0
1997-10-01,Cote d Ivoire,13.0
1997-10-01,Cote d Ivoire,38.0
1997-10-01,Cote d Ivoire,36.0
1997-10-01,Cote d Ivoire,96.0
1997-10-01,Cote d Ivoire,76.0
1997-10-01,Cote d Ivoire,60.0
1997-10-01,Cote d Ivoire,1.0
1997-10-01,Cote d Ivoire,13.0
1998-01-01,Cote d Ivoire,158.0
1998-01-01,Cote d Ivoire,41.0
1998-01-01,Cote d Ivoire,109.0
1998-01-01,Cote d Ivoire,58.0
1998-01-01,Cote d Ivoire,51.0
1998-01-01,Cote d Ivoire,1.0
1998-01-01,Cote d Ivoire,61.0
1998-01-01,Cote d Ivoire,113.0
1998-01-01,Cote d Ivoire,300.0
1998-01-01,Cote d Ivoire,116.0
1998-01-01,Cote d Ivoire,132.0
1998-01-01,Cote d Ivoire,54.0
1998-01-01,Cote d Ivoire,53.0
1998-01-01,Cote d Ivoire,250.0
1998-01-01,Cote d Ivoire,144.0
1998-01-01,Cote d Ivoire,88.0
1998-01-01,Cote d Ivoire,187.0
1998-01-01,Cote d Ivoire,58.0
1998-01-01,Cote d Ivoire,46.0
1998-01-01,Cote d Ivoire,86.0
1998-01-01,Cote d Ivoire,136.0
1998-01-01,Cote d Ivoire,78.0
1998-01-01,Cote d Ivoire,159.0
1998-01-01,Cote d Ivoire,47.0
1998-01-01,Cote d Ivoire,66.0
1998-01-01,Cote d Ivoire,36.0
1998-01-01,Cote d Ivoire,260.0
1998-01-01,Cote d Ivoire,73.0
1998-01-01,Cote d Ivoire,40.0
1998-01-01,Cote d Ivoire,32.0
1998-01-01,Cote d Ivoire,18.0
1998-01-01,Cote d Ivoire,112.0
1998-01-01,Cote d Ivoire,122.0
1998-01-01,Cote d Ivoire,41.0
1998-01-01,Cote d Ivoire,60.0
1998-01-01,Cote d Ivoire,14.0
1998-03-01,Cote d Ivoire,23.0
1998-03-01,Cote d Ivoire,57.0
1998-03-01,Cote d Ivoire,49.0
1998-03-01,Cote d Ivoire,78.0
